player,role,batting_style,bowling_style,Image,team
Vivrant Sharma,Allrounder,Left hand Bat,Legbreak Googly,https://wassets.hscicdn.com/static/images/player-jersey.svg,Sunrisers Hyderabad
Wanindu Hasaranga,Allrounder,Right hand Bat,Legbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/294200/294296.jpg",Royal Challengers Bangalore
Washington Sundar,Bowling Allrounder,Left hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/302500/302584.jpg",Sunrisers Hyderabad
Wayne Parnell,Bowler,Left hand Bat,Left arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/263700/263777.1.jpg",Royal Challengers Bangalore
Will Jacks,Batter,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/296200/296209.1.jpg",Royal Challengers Bangalore
Wriddhiman Saha,Wicketkeeper Batter,Right hand Bat,DNB,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/302300/302390.jpg",Gujarat Titans 
Yash Dayal,Bowler,Right hand Bat,Left arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/357400/357416.2.jpg",Gujarat Titans 
Yash Dhull,Top order Batter,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/336800/336898.4.jpg",Delhi Capitals
Yash Thakur,Bowler,Right hand Bat,Right arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356700/356790.1.png",Lucknow Super Giants
Yashasvi Jaiswal,Opening Batter,Left hand Bat,Legbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356803.1.png",Rajasthan Royals
Yudhvir Singh,Bowler,Right hand Bat,Right arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/314700/314789.jpg",Lucknow Super Giants
Yuzvendra Chahal,Bowler,Right hand Bat,Legbreak Googly,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/312100/312155.png",Rajasthan Royals
